Time (min),liver,spleen,HF1-2CFM+3DSPGR model
0.0,0.9964488636363636,1.013383533032868,1.002576997431623
0.95,0.9946524064171124,1.0050016488952402,1.0188034838206403
1.9,1.012658756684492,0.9725733758381884,0.9863159224246932
2.85,1.011447192513369,1.0019099703198857,0.9690582345747744
3.8,0.984792780748663,1.0071314719138178,0.9849442128055783
4.75,1.8938836898395721,1.8203803451687368,1.8642269863039103
5.7,2.2164522058823533,1.3411014620204462,2.3371898820268617
6.65,2.436037767379679,1.2165411674178301,2.406549756611655
7.6,2.439380013368984,1.17002858085083,2.3986406258967974
8.55,2.364639037433155,1.1123172474442125,2.3485771458034583
9.5,2.3094502005347595,1.0655985489721886,2.2614026337050213
10.45,2.2112717245989306,1.097889414092558,2.1855120350487915
11.4,2.148646390374332,1.0809195339122788,2.121978684115767
12.35,2.0533923796791447,1.0743239529515225,2.0562344273960624
13.3,1.9918950534759359,1.105996482356821,2.017396462592694
14.25,1.943140040106952,1.0422391997361768,1.956128534810377
15.2,1.9095504679144386,1.0135896449378916,1.8536336654499748
16.15,1.8097426470588236,1.0866219632845993,1.8045160613183915
17.1,1.7360043449197862,1.0439567989447072,1.7668493480757215
18.05,1.7170788770053476,0.9888562163350555,1.6688976081265159
19.0,1.6579629010695187,1.0480790370451798,1.6029467120121625
19.95,1.651654411764706,1.038735297350775,1.5723513735602412
20.9,1.5785427807486632,1.0695833791359788,1.5686099659545376
21.85,1.5345086898395723,1.0447812465648016,1.5615454131470339
22.8,1.5017129010695187,1.0293915576563701,1.5274728007714449
23.75,1.4595170454545454,1.0034214576233924,1.4657873080357664
24.7,1.4020304144385027,1.0827745410574916,1.4724235934879755
25.65,1.3888285427807487,1.0337886116302077,1.4806201378930377
26.6,1.356408756684492,1.0141392766846213,1.4387417181136124
27.55,1.3521473930481285,1.0095361108057601,1.4380554012324984
