Time,Liver,Spleen,High-Flow Gadoxetate model
1,-0.00319152,-0.00672599,-0.001345198
2,-0.0007881,0.00166966,-0.003445971
3,0.00244882,0.00597407,0.005194812
4,0.0015498,-0.00085974,0.006486688
5,0.08293599,0.05948418,0.068497573
6,0.31924963,0.18008603,0.280965646
7,0.54505652,0.12239716,0.442069535
8,0.58129276,0.08580892,0.475886579
9,0.55626552,0.06208139,0.449784186
10,0.50977515,0.04644978,0.399579066
11,0.46764788,0.03602405,0.343678763
12,0.41606825,0.02899361,0.290906021
13,0.37170463,0.02419907,0.244898827
14,0.33446744,0.0208869,0.206592121
15,0.30084644,0.01856246,0.175605744
16,0.27564109,0.01689881,0.151004632
17,0.24723152,0.01567886,0.131699693
18,0.22849169,0.01475802,0.116645498
19,0.20787404,0.01403975,0.104925521
20,0.18679151,0.01345951,0.095777545
21,0.16915868,0.01297405,0.088589153
22,0.15871848,0.0125544,0.082880103
23,0.14779374,0.01218109,0.07828052
24,0.12860311,0.01184105,0.074509453
25,0.12319793,0.01152545,0.071355796
26,0.11260052,0.01122833,0.068662296
27,0.10366548,0.01094566,0.066312657
28,0.09227397,0.01067467,0.064221345
29,0.08658912,0.01041347,0.062325737
30,0.0783858,0.01016074,0.060580141
31,0.07672155,0.00991554,0.058951281
32,0.07455285,0.00967721,0.057414965
33,0.06866276,0.00944526,0.05595361
34,0.06213487,0.00921931,0.054554401
35,0.05654037,0.00899908,0.053207982
36,0.0519566,0.00878433,0.051907482
37,0.04767138,0.00857485,0.050647796
38,0.04544056,0.00837048,0.049425107
39,0.04302599,0.00817106,0.048236512
40,0.03801936,0.00797646,0.047079775
41,0.03594186,0.00778654,0.045953121
42,0.03290479,0.00760118,0.044855111
43,0.02991005,0.00742027,0.043784558
44,0.02756181,0.0072437,0.042740457
45,0.02715398,0.00707135,0.041721915
46,0.02579903,0.00690312,0.040728133
47,0.02274006,0.00673892,0.0397584
48,0.02021206,0.00657864,0.038812048
49,0.01620047,0.00642219,0.037888453
50,0.01548704,0.00626948,0.036987026
51,0.01603692,0.00612042,0.036107209
52,0.01311038,0.00597491,0.035248452
53,0.01162642,0.00583288,0.034410236
54,0.01272945,0.00569424,0.033592061
55,0.01213099,0.0055589,0.032793428
56,0.01210121,0.0054268,0.032013871
57,0.0094102,0.00529784,0.031252923
58,0.00972547,0.00517196,0.030510133
59,0.00912129,0.00504908,0.029785064
60,0.00436629,0.00492913,0.029761074
